chrUn_MU069435v1	0	15028	.	1000	.	116743.35547	-1	-1	81	5.000000	5.000000	0	15028	56998.75781	80	0	14544	59744.59766	82
chr1	190893454	190919499	.	1000	.	109936.78442	-1	-1	5177	5.000000	5.000000	190893518	190919499	55108.65771	4905	190893454	190919085	54828.12671	2398
chr7	28069955	28083932	.	1000	.	77300.55707	-1	-1	10695	5.000000	5.000000	28070405	28083932	38276.85547	12140	28069955	28083559	39023.70160	3852
chr13	5910401	5926128	.	1000	.	69183.69067	-1	-1	852	5.000000	5.000000	5910459	5926128	34713.13672	698	5910401	5926101	34470.55396	687
chr8	85700531	85710293	.	1000	.	63242.01758	-1	-1	6004	5.000000	5.000000	85700932	85710293	30750.46289	5606	85700531	85709933	32491.55469	6002
chr12	8541208	8552797	.	1000	.	61216.47852	-1	-1	8952	5.000000	5.000000	8541208	8552792	30288.45312	8924	8541441	8552797	30928.02539	8748
chr4	94935152	94943755	.	1000	.	47907.46484	-1	-1	5880	5.000000	5.000000	94935152	94943755	23995.66992	6493	94935345	94943210	23911.79492	5075
chr8	71150513	71166076	.	1000	.	44481.73323	-1	-1	988	5.000000	5.000000	71150513	71166076	21745.10489	787	71150541	71165794	22736.62834	889
chr10	96455065	96471786	.	1000	.	44428.47486	-1	-1	4191	5.000000	5.000000	96455065	96471730	22314.34033	3896	96455498	96471786	22114.13452	853
chr19	5888414	5900833	.	1000	.	44402.85356	-1	-1	8388	5.000000	5.000000	5888414	5900833	21274.98222	2236	5888565	5900509	23127.87134	4739
chr11	86466450	86476815	.	1000	.	43909.32816	-1	-1	2698	5.000000	5.000000	86466450	86476793	21523.25784	777	86466599	86476815	22386.07031	3365
chr7	16041835	16049837	.	1000	.	42854.20270	-1	-1	5135	5.000000	5.000000	16041889	16049837	21839.57575	2576	16041835	16049786	21014.62695	5342
chr17	26719150	26728942	.	1000	.	41964.28516	-1	-1	9461	5.000000	5.000000	26719150	26728942	20376.41992	9428	26719167	26728764	21587.86523	9477
chr8	73071183	73082677	.	1000	.	41673.85388	-1	-1	1681	5.000000	5.000000	73071183	73082677	20445.12592	508	73071496	73082667	21228.72797	479
chr8	84923547	84931816	.	1000	.	40772.81348	-1	-1	7223	5.000000	5.000000	84923547	84931816	20155.79736	3140	84923742	84931715	20617.01611	2902
chr11	16913537	16932190	.	1000	.	39884.67163	-1	-1	9729	5.000000	5.000000	16913537	16931815	19921.04681	1518	16914292	16932190	19963.62482	1398
chr8	127317538	127324094	.	1000	.	37396.19336	-1	-1	3931	5.000000	5.000000	127317589	127324094	18567.09180	3881	127317538	127323966	18829.10156	3930
chr11	68985094	68992162	.	1000	.	37385.19238	-1	-1	2589	5.000000	5.000000	68985094	68992162	18390.45996	1558	68985210	68991939	18994.73242	550
chr9	124193815	124201120	.	1000	.	36863.41986	-1	-1	2378	5.000000	5.000000	124193815	124200681	17957.42188	2446	124193823	124201120	18905.99799	1097
chr11	117852803	117862161	.	1000	.	36479.73822	-1	-1	1587	5.000000	5.000000	117852803	117862129	17747.39258	1657	117852934	117862161	18732.34564	694
chr11	87644930	87655744	.	1000	.	36143.05859	-1	-1	4119	5.000000	5.000000	87644930	87655659	17416.91016	5635	87645552	87655744	18726.14844	1981
chr11	115905585	115913088	.	1000	.	35972.65723	-1	-1	5331	5.000000	5.000000	115905585	115913088	18097.31445	5235	115905585	115912862	17875.34277	2455
chr11	74718811	74724254	.	1000	.	35722.18530	-1	-1	4348	5.000000	5.000000	74718811	74724254	17222.32202	1793	74718832	74724203	18499.86328	1144
chr19	10833127	10847941	.	1000	.	35695.18408	-1	-1	3727	5.000000	5.000000	10833294	10847941	18036.81348	3558	10833127	10847912	17658.37061	2282
chr17	34335587	34344334	.	1000	.	35278.19006	-1	-1	2762	5.000000	5.000000	34335738	34344330	17390.55872	1113	34335587	34344334	17887.63135	2083
chr17	71154628	71161373	.	1000	.	35154.64490	-1	-1	4310	5.000000	5.000000	71154628	71161297	17477.10974	2064	71154808	71161373	17677.53516	4110
chr11	109251480	109261362	.	1000	.	34929.11694	-1	-1	2049	5.000000	5.000000	109251480	109260817	16596.71606	1372	109252032	109261362	18332.40088	726
chr5	125465377	125471920	.	1000	.	34829.18555	-1	-1	3258	5.000000	5.000000	125465377	125471920	16626.71484	1401	125465421	125471895	18202.47070	5072
chrUn_JH584304v1	58318	61652	.	1000	.	34693.66016	-1	-1	1245	5.000000	5.000000	58318	61652	17648.55664	1254	58324	61564	17045.10352	1231
chr1	143874542	143883595	.	1000	.	34139.84546	-1	-1	5468	5.000000	5.000000	143874542	143883594	17769.19751	2838	143874946	143883595	16370.64795	3079
chr8	127570869	127577753	.	1000	.	34001.53027	-1	-1	5983	5.000000	5.000000	127570869	127577753	17521.96387	2221	127571221	127577206	16479.56641	2039
chr4	155299091	155308964	.	1000	.	33816.07428	-1	-1	5864	5.000000	5.000000	155299091	155308922	16739.88086	8829	155299175	155308964	17076.19342	1086
chr8	14937812	14943645	.	1000	.	33690.44531	-1	-1	2430	5.000000	5.000000	14937971	14942976	16714.83203	3556	14937812	14943645	16975.61328	1145
chrUn_MU069435v1	29189	31129	.	1000	.	33108.22656	-1	-1	1697	5.000000	5.000000	29339	31129	16306.62305	1547	29189	31129	16801.60352	1697
chr5	142879824	142889329	.	1000	.	32819.08789	-1	-1	1206	5.000000	5.000000	142879824	142889196	16477.52148	1239	142880045	142889329	16341.56641	952
chr4	141596348	141603412	.	1000	.	32338.52637	-1	-1	4029	5.000000	5.000000	141596348	141603321	16368.80957	5899	141596749	141603412	15969.71680	480
chr10	127425831	127434792	.	1000	.	32188.10934	-1	-1	7494	5.000000	5.000000	127426012	127434785	15943.54394	7332	127425831	127434792	16244.56540	1725
chr6	108801109	108807703	.	1000	.	32155.95215	-1	-1	4337	5.000000	5.000000	108801109	108807703	16551.21094	4293	108801661	108807413	15604.74121	871
